"file","source_row","field","value","problem"
"boron_isotopes_anderson_2024.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_anderson_2024.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_anderson_2024.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_anderson_2024.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_anderson_2024.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_anderson_2024.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_anderson_2024.xlsx",10,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_anderson_2024.xlsx",11,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_anderson_2024.xlsx",12,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_anderson_2024.xlsx",13,"C","please enter value manually","Archive link not yet assigned"
