"file","source_row","field","value","problem"
"boron_isotopes_greenop_2019.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",10,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",11,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",12,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",13,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",14,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",15,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",16,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",17,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",18,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",19,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",20,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",21,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",22,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",23,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",24,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",43,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",44,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_greenop_2019.xlsx",45,"C","please enter value manually","Archive link not yet assigned"
