"file","source_row","field","value","problem"
"boron_isotopes_hoenisch_2009.xlsx",4,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",5,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",6,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",7,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",8,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",9,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",10,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",11,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",12,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",13,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",14,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",15,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",16,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",17,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",18,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_hoenisch_2009.xlsx",19,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","based on +/- 3% of measured Mg/Ca value, see column BP","Uncertainty magnitude present; type missing or not handled by this mapping"
