"file","source_row","field","value","problem"
"paleosol_andrzejewski_2022.xlsx",4,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",5,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",6,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",7,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",8,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",9,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",10,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",11,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",12,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",13,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",14,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",15,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",16,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",17,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",18,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",4,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",5,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",6,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",7,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",8,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",9,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",10,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",11,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",12,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",13,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",14,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",15,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",16,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",17,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_andrzejewski_2022.xlsx",18,"temperature uncertainty","minmax","Uncertainty type missing or unclear; left blank"
"paleosol_ghosh_2005.xlsx",4,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_ghosh_2005.xlsx",5,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_ghosh_2005.xlsx",6,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_ghosh_2005.xlsx",7,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_ghosh_2005.xlsx",8,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_harper_2021.xlsx",4,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_harper_2021.xlsx",5,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_harper_2021.xlsx",6,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_harper_2021.xlsx",7,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_harper_2021.xlsx",8,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_harper_2021.xlsx",9,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_harper_2021.xlsx",10,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_harper_2021.xlsx",11,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
"paleosol_harper_2021.xlsx",12,"age uncertainty",,"Uncertainty type missing or unclear; left blank"
