"file_1","source_row_1","sample_1","study_1","method_1","file_2","source_row_2","sample_2","study_2","method_2","status"
"stomata-sr_mcelwain_1999.xlsx",7,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",8,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",4,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",12,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",5,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",12,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",7,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",12,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",11,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",12,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",12,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",15,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",4,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",16,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",5,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",16,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",7,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",16,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",11,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",16,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",15,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",16,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",4,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",17,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",5,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",17,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",7,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",17,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",11,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",17,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",15,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",17,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",12,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",19,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",16,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",19,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",17,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",19,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",18,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",19,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",15,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",20,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
"stomata-sr_mcelwain_1999.xlsx",12,"Jameson Land, Greenland","mcelwain_1999","sr","stomata-sr_mcelwain_1999.xlsx",21,"Jameson Land, Greenland","mcelwain_1999","sr","ambiguous: both retained; human review needed"
