"file","source_row","field","value","problem"
"boron_isotopes_martinez-boti_2015.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",10,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",11,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",12,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",13,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",14,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",15,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",16,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",17,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",18,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",19,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",20,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",21,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",22,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",23,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",24,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",25,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",26,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",27,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",28,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",29,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",30,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",31,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",32,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",33,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",34,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_martinez-boti_2015.xlsx",35,"C","please enter value manually","Archive link not yet assigned"
