"file","source_row","field","value","problem"
"boron_isotopes_pearson_2000.xlsx",4,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",5,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",6,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",7,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",8,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",9,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",10,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",11,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",12,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",13,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",14,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",15,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",16,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",17,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",18,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",19,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",20,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",21,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",22,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",23,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",24,"AH: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)","Set Range","Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_pearson_2000.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",10,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",11,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",12,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",13,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",14,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",15,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",16,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",17,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",18,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",19,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",20,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",21,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",22,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",23,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_pearson_2000.xlsx",24,"C","please enter value manually","Archive link not yet assigned"
