"file","source_row","field","value","problem"
"boron_isotopes_seki_2010.xlsx",4,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",5,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",6,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",7,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",8,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",9,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",10,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",11,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",12,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",13,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",14,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",15,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",16,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",17,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",18,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",19,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",20,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",21,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",22,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",23,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_seki_2010.xlsx",4,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)",,"Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_seki_2010.xlsx",5,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)",,"Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_seki_2010.xlsx",6,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)",,"Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_seki_2010.xlsx",7,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)",,"Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_seki_2010.xlsx",8,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)",,"Uncertainty magnitude present; type missing or not handled by this mapping"
"boron_isotopes_seki_2010.xlsx",9,"BY: type.of.uncertainty.(e.g.,.set.value,.normal.distribution,.+/-.range)",,"Uncertainty magnitude present; type missing or not handled by this mapping"
