"file","source_row","field","value","problem"
"boron_isotopes_sosdian_2018.xlsx",50,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_sosdian_2018.xlsx",51,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_sosdian_2018.xlsx",52,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_sosdian_2018.xlsx",53,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_sosdian_2018.xlsx",54,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_sosdian_2018.xlsx",55,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_sosdian_2018.xlsx",56,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_sosdian_2018.xlsx",57,"S","NA (Uk'37 used ) ","Alternative source value present but Mg/Ca column S remains blank"
"boron_isotopes_sosdian_2018.xlsx",4,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",5,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",6,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",7,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",8,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",9,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",10,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",11,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",12,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",13,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",14,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",15,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",16,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",17,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",18,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",19,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",20,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",21,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",22,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",23,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",24,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",25,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",26,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",27,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",28,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",29,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",30,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",31,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",32,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",33,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",34,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",35,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",36,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",37,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",38,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",39,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",40,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",41,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",42,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",43,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",44,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",45,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",46,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",47,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",48,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",49,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",50,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",51,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",52,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",53,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",54,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",55,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",56,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",57,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",58,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",59,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",60,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",61,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",62,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",63,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",64,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",65,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",66,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",67,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",68,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",69,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",70,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",71,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",72,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",73,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",74,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",75,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",76,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",77,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",78,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",79,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",80,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",81,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",82,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",83,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",84,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",85,"C","please enter value manually","Archive link not yet assigned"
"boron_isotopes_sosdian_2018.xlsx",86,"C","please enter value manually","Archive link not yet assigned"
