"file","source_row","field","value","problem"
"boron_isotopes_dyez_2018.xlsx",26,"BG","0.157437369684449","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",29,"BG","0.242516271606213","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",38,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",40,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",48,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",51,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",52,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",53,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",54,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",59,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",60,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",61,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",62,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",63,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",66,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",67,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",69,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",70,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",71,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",72,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",75,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",76,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",78,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",79,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",80,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",83,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",84,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",85,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",87,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",90,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",91,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",107,"BG","0.816055428799475","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",118,"BG","0.43","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
