"file","source_row","field","value","problem"
"boron_isotopes_hoenisch_2005.xlsx",4,"CD","0.1002; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",5,"CD","0.1053; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",6,"CD","0.0864; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",7,"CD","0.0903; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",8,"CD","0.0861; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",9,"CD","0.1023; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",10,"CD","0.12; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",11,"CD","0.1116; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",12,"CD","0.0852; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",13,"CD","0.09; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",14,"CD","0.0969; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",15,"CD","0.084; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",16,"CD","0.09; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",17,"CD","0.0957; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",18,"CD","0.1098; NA","Only one uncertainty side available"
"boron_isotopes_hoenisch_2005.xlsx",19,"CD","0.1026; NA","Only one uncertainty side available"
