"file","source_row","field","value","problem"
"boron_isotopes_anderson_2024.xlsx",4,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",6,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",8,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",11,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",12,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_anderson_2024.xlsx",13,"BG","0.44","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_bartoli_2011.xlsx",18,"BG","0.816055428799475","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_bartoli_2011.xlsx",29,"BG","0.43","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",26,"BG","0.157437369684449","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",29,"BG","0.242516271606213","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",38,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",40,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",48,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",51,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",52,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",53,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",54,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",59,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",60,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",61,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_dyez_2018.xlsx",62,"BG","0.23","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
