"action","file_1","sheet_1","source_row_1","publication_year_1","sample_1","site_1","depth_m_1","composite_depth_m_1","lat_1","lon_1","age_Ma_1","species_1","shell_size_1","d11B_replicates_1","MgCa_replicates_1","replicate_2SE_1","published_pCO2_1","d11B_1","d11B_2s_1","MgCa_1","MgCa_2s_1","temperature_1","source_notes_1","MgCa_from_replicates_1","retained_1","retained_file_1","retained_source_row_1","combined_row_1","intermediate_row_1","file_2","sheet_2","source_row_2","publication_year_2","sample_2","site_2","depth_m_2","composite_depth_m_2","lat_2","lon_2","age_Ma_2","species_2","shell_size_2","d11B_replicates_2","MgCa_replicates_2","replicate_2SE_2","published_pCO2_2","d11B_2","d11B_2s_2","MgCa_2","MgCa_2s_2","temperature_2","source_notes_2","MgCa_from_replicates_2","retained_2","retained_file_2","retained_source_row_2","combined_row_2","intermediate_row_2"
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",4,2022,"ODP 806_B_3_2_101_103","ODP 806",,,0.3185,159.3615,0.90395,"Globigerinoides ruber","250-300","19.0329780437852","3.52588773399394",,219.181,19.0329780437852,0.289796563578344,3.52588773399394,0.02,27.4811753172778,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",4,776,5,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",93,2022,"ODP 806_B_3_2_101_103","ODP 806",,,0.3185,159.3615,0.90395,"Globigerinoides ruber","250-300","19.0329780437852","3.52588773399394",,203.382,19.0329780437852,0.289796563578344,3.52588773399394,0.02,27.4811753172778,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",4,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",4,2022,"ODP 806_B_3_2_101_103","ODP 806",,,0.3185,159.3615,0.90395,"Globigerinoides ruber","250-300","19.0329780437852","3.52588773399394",,219.181,19.0329780437852,0.289796563578344,3.52588773399394,0.02,27.4811753172778,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",4,776,5,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",182,2022,"ODP 806_B_3_2_101_103","ODP 806",,,0.3185,159.3615,0.90395,"Globigerinoides ruber","250-300","19.0329780437852","3.52588773399394",,178.172,19.0329780437852,0.289796563578344,3.52588773399394,0.02,27.4811753172778,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",4,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",5,2022,"ODP 806_B_3_4_86_88","ODP 806",,,0.3185,159.3615,1.01859,"Globigerinoides ruber","250-300","20.1817880575663","4.62927861454634",,163.537,20.1817880575663,0.289796563578344,4.62927861454634,0.02,32.9167447494784,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",5,777,6,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",94,2022,"ODP 806_B_3_4_86_88","ODP 806",,,0.3185,159.3615,1.01859,"Globigerinoides ruber","250-300","20.1817880575663","4.62927861454634",,151.144,20.1817880575663,0.289796563578344,4.62927861454634,0.02,32.9167447494784,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",5,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",5,2022,"ODP 806_B_3_4_86_88","ODP 806",,,0.3185,159.3615,1.01859,"Globigerinoides ruber","250-300","20.1817880575663","4.62927861454634",,163.537,20.1817880575663,0.289796563578344,4.62927861454634,0.02,32.9167447494784,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",5,777,6,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",183,2022,"ODP 806_B_3_4_86_88","ODP 806",,,0.3185,159.3615,1.01859,"Globigerinoides ruber","250-300","20.1817880575663","4.62927861454634",,131.266,20.1817880575663,0.289796563578344,4.62927861454634,0.02,32.9167447494784,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",5,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",6,2022,"ODP 806_B_3_5_6_8","ODP 806",,,0.3185,159.3615,1.0457,"Globigerinoides ruber","250-300","18.6322992939878","3.26937790709548",,246.65,18.6322992939878,0.289796563578344,3.26937790709548,0.02,25.9208034967701,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",6,778,7,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",95,2022,"ODP 806_B_3_5_6_8","ODP 806",,,0.3185,159.3615,1.0457,"Globigerinoides ruber","250-300","18.6322992939878","3.26937790709548",,226.465,18.6322992939878,0.289796563578344,3.26937790709548,0.02,25.9208034967701,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",6,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",6,2022,"ODP 806_B_3_5_6_8","ODP 806",,,0.3185,159.3615,1.0457,"Globigerinoides ruber","250-300","18.6322992939878","3.26937790709548",,246.65,18.6322992939878,0.289796563578344,3.26937790709548,0.02,25.9208034967701,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",6,778,7,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",184,2022,"ODP 806_B_3_5_6_8","ODP 806",,,0.3185,159.3615,1.0457,"Globigerinoides ruber","250-300","18.6322992939878","3.26937790709548",,195.858,18.6322992939878,0.289796563578344,3.26937790709548,0.02,25.9208034967701,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",6,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",7,2022,"ODP 806_B_3_5_26_28","ODP 806",,,0.3185,159.3615,1.0537,"Globigerinoides ruber","250-300","19.1446692355539","3.3228677904112",,205.284,19.1446692355539,0.289796563578344,3.3228677904112,0.02,26.7979453563036,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",7,779,8,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",96,2022,"ODP 806_B_3_5_26_28","ODP 806",,,0.3185,159.3615,1.0537,"Globigerinoides ruber","250-300","19.1446692355539","3.3228677904112",,188.925,19.1446692355539,0.289796563578344,3.3228677904112,0.02,26.7979453563036,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",7,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",7,2022,"ODP 806_B_3_5_26_28","ODP 806",,,0.3185,159.3615,1.0537,"Globigerinoides ruber","250-300","19.1446692355539","3.3228677904112",,205.284,19.1446692355539,0.289796563578344,3.3228677904112,0.02,26.7979453563036,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",7,779,8,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",185,2022,"ODP 806_B_3_5_26_28","ODP 806",,,0.3185,159.3615,1.0537,"Globigerinoides ruber","250-300","19.1446692355539","3.3228677904112",,164.103,19.1446692355539,0.289796563578344,3.3228677904112,0.02,26.7979453563036,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",7,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",8,2022,"ODP 806_B_4_1_71_73","ODP 806",,,0.3185,159.3615,1.24026,"Globigerinoides ruber","250-300","18.1452447731421","3.47405982580486",,308.258,18.1452447731421,0.209247389225913,3.47405982580486,0.02,26.4461761938914,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",8,780,9,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",97,2022,"ODP 806_B_4_1_71_73","ODP 806",,,0.3185,159.3615,1.24026,"Globigerinoides ruber","250-300","18.1452447731421","3.47405982580486",,278.377,18.1452447731421,0.209247389225913,3.47405982580486,0.02,26.4461761938914,"Scenario 2A- L02/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",8,,
"removed redundant record","boron_isotopes_guillermic_2022.xlsx","boron isotopes",8,2022,"ODP 806_B_4_1_71_73","ODP 806",,,0.3185,159.3615,1.24026,"Globigerinoides ruber","250-300","18.1452447731421","3.47405982580486",,308.258,18.1452447731421,0.209247389225913,3.47405982580486,0.02,26.4461761938914,"Scenario 1A- G17/Caves2016",FALSE,TRUE,"boron_isotopes_guillermic_2022.xlsx",8,780,9,"boron_isotopes_guillermic_2022.xlsx","boron isotopes",186,2022,"ODP 806_B_4_1_71_73","ODP 806",,,0.3185,159.3615,1.24026,"Globigerinoides ruber","250-300","18.1452447731421","3.47405982580486",,242.716,18.1452447731421,0.209247389225913,3.47405982580486,0.02,26.4461761938914,"Scenario 3A- RH13/Caves2016",FALSE,FALSE,"boron_isotopes_guillermic_2022.xlsx",8,,
