"file","source_row","field","value","problem"
"phytoplankton_badger_2013a.xlsx",4,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",5,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",6,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",7,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",8,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",9,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",10,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",11,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",12,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",13,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",14,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",15,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",16,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",17,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",18,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",19,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",20,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",21,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",22,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",23,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",24,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",25,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",26,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",27,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",28,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",29,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_badger_2013a.xlsx",30,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
