"file","source_row","field","value","problem"
"phytoplankton_pagani_2000.xlsx",4,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",5,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",6,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",7,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",8,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",9,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",10,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",11,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",12,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",13,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",14,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",15,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",16,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",17,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",18,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",19,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",20,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",22,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",23,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",26,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",33,"measurement",,"No primary proxy measurement mapped"
"phytoplankton_pagani_2000.xlsx",44,"measurement",,"No primary proxy measurement mapped"
