"file","source_row","field","value","problem"
"boron_isotopes_henehan_2013.xlsx",22,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",23,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",24,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",25,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",26,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",27,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",28,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",29,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",30,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",31,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",32,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",33,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",34,"AI","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",22,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",23,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",24,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",25,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",26,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",27,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",28,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",29,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",30,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",31,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",32,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",33,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",34,"AJ","not known","Non-numeric entry omitted from numeric output; original retained here"
"boron_isotopes_henehan_2013.xlsx",23,"BG","0.25","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_henehan_2013.xlsx",25,"BG","0.25","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_henehan_2013.xlsx",31,"BG","0.25","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_henehan_2013.xlsx",32,"BG","0.25","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
