"file","source_row","field","value","problem"
"boron_isotopes_seki_2010.xlsx",5,"BG","0.12","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_seki_2010.xlsx",6,"BG","0.09","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_seki_2010.xlsx",7,"BG","0.14","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_seki_2010.xlsx",9,"BG","0.12","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_seki_2010.xlsx",10,"BG","0.14","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_seki_2010.xlsx",12,"BG","0.1","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_seki_2010.xlsx",14,"BG","0.09","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_seki_2010.xlsx",17,"BG","0.09","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_seki_2010.xlsx",20,"BG","0.17","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
"boron_isotopes_seki_2010.xlsx",21,"BG","0.13","Reported uncertainty smaller than replicate 2SE; review internal versus external uncertainty"
