"file","source_row","field","value","problem"
"paleosol_da_2019.xlsx",4,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",5,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",6,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",7,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",8,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",9,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",10,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",11,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",12,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",13,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",14,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",15,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",16,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",17,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",18,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",19,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",20,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",21,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",22,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",23,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",24,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",25,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",26,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",27,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",28,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",29,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",30,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",31,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",32,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",33,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",34,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",35,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",36,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",37,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",38,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",39,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",40,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",41,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",42,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",43,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",44,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",45,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",46,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",47,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",48,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",49,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",50,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",51,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",52,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",53,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",54,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",55,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",56,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",57,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",58,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",59,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",60,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",61,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",62,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",63,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",64,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",65,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",66,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",67,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",68,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",69,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",70,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",71,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",72,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",73,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",74,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",75,"A",,"Missing sample ID"
"paleosol_da_2019.xlsx",76,"A",,"Missing sample ID"
