"file","source_row","field","value","problem"
"phytoplankton_bolton_2016.xlsx",4,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",5,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",6,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",7,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",8,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",9,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",11,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",12,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",13,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",14,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",15,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",16,"organic_unc_type",,"Uncertainty magnitude present but its scale/distribution is unspecified"
"phytoplankton_bolton_2016.xlsx",10,"measurement",,"No primary proxy measurement mapped"
