"combined_row","field","source","conversion"
5,"sample","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!O4",
5,"doi","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!D4",
5,"lat","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AA4",
5,"lon","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AB4",
5,"age_mean","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!V4",
5,"age_min","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!X4",
5,"age_max","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!W4",
5,"age_notes","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Z4",
5,"family","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!P4",
5,"genus","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!Q4",
5,"Dab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AM4",
5,"eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AN4",
5,"N_eDab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AO4",
5,"Dad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AP4",
5,"eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AQ4",
5,"N_eDad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AR4",
5,"GCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AS4",
5,"eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AT4",
5,"N_eGCLab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AU4",
5,"GCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AV4",
5,"eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AW4",
5,"N_eGCLad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AX4",
5,"GCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AY4",
5,"eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!AZ4",
5,"N_eGCWab","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BA4",
5,"GCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BB4",
5,"eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BC4",
5,"N_eGCWad","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BD4",
5,"d13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BE4",
5,"ed13Cp","stomata-franks_liang_2022a.xlsx#leaf gas-exchange_Franks!BF4",
