"file","source_row","field","value","problem"
"stomata-si_kuerschner_1996.xlsx",2,"A",,"Missing sample ID"
"stomata-si_kuerschner_1996.xlsx",3,"A",,"Missing sample ID"
"stomata-si_kuerschner_1996.xlsx",4,"A",,"Missing sample ID"
"stomata-si_kuerschner_1996.xlsx",5,"A",,"Missing sample ID"
"stomata-si_kuerschner_1996.xlsx",6,"A",,"Missing sample ID"
"stomata-si_kuerschner_1996.xlsx",7,"A",,"Missing sample ID"
"stomata-si_kuerschner_1996.xlsx",8,"A",,"Missing sample ID"
"stomata-si_kuerschner_1996.xlsx",9,"A",,"Missing sample ID"
"stomata-si_kuerschner_1996.xlsx",10,"A",,"Missing sample ID"
"stomata-si_kuerschner_1996.xlsx",2,"F",,"Missing latitude"
"stomata-si_kuerschner_1996.xlsx",3,"F",,"Missing latitude"
"stomata-si_kuerschner_1996.xlsx",4,"F",,"Missing latitude"
"stomata-si_kuerschner_1996.xlsx",5,"F",,"Missing latitude"
"stomata-si_kuerschner_1996.xlsx",6,"F",,"Missing latitude"
"stomata-si_kuerschner_1996.xlsx",7,"F",,"Missing latitude"
"stomata-si_kuerschner_1996.xlsx",8,"F",,"Missing latitude"
"stomata-si_kuerschner_1996.xlsx",9,"F",,"Missing latitude"
"stomata-si_kuerschner_1996.xlsx",10,"F",,"Missing latitude"
"stomata-si_kuerschner_1996.xlsx",2,"G",,"Missing longitude"
"stomata-si_kuerschner_1996.xlsx",3,"G",,"Missing longitude"
"stomata-si_kuerschner_1996.xlsx",4,"G",,"Missing longitude"
"stomata-si_kuerschner_1996.xlsx",5,"G",,"Missing longitude"
"stomata-si_kuerschner_1996.xlsx",6,"G",,"Missing longitude"
"stomata-si_kuerschner_1996.xlsx",7,"G",,"Missing longitude"
"stomata-si_kuerschner_1996.xlsx",8,"G",,"Missing longitude"
"stomata-si_kuerschner_1996.xlsx",9,"G",,"Missing longitude"
"stomata-si_kuerschner_1996.xlsx",10,"G",,"Missing longitude"
